"siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhExp_dl","battery_200_DailyWhImp","battery_200_DailyWhImp_dl","battery_200_IncWhExp","battery_200_IncWhExp_dl","battery_200_IncWhImp","battery_200_IncWhImp_dl","battery_200_TotWhExp","battery_200_TotWhExp_dl","battery_200_TotWhImp","battery_200_TotWhImp_dl","battery_200_W","battery_200_W_dl","battery_713_SoC","battery_713_SoC_dl","battery_713_SoH","battery_713_SoH_dl","grid_200_DailyWhExp","grid_200_DailyWhExp_dl","grid_200_DailyWhImp","grid_200_DailyWhImp_dl","grid_200_IncWhExp","grid_200_IncWhExp_dl","grid_200_IncWhImp","grid_200_IncWhImp_dl","grid_200_TotWhExp","grid_200_TotWhExp_dl","grid_200_TotWhImp","grid_200_TotWhImp_dl","grid_200_W","grid_200_W_dl","load_200_IncWhExp","load_200_IncWhExp_dl","load_200_IncWhImp","load_200_IncWhImp_dl","load_200_TotWhExp","load_200_TotWhExp_dl","load_200_TotWhImp","load_200_TotWhImp_dl","load_200_W","load_200_W_dl","pv_200_DailyWhExp","pv_200_DailyWhExp_dl","pv_200_IncWhExp","pv_200_IncWhExp_dl","pv_200_IncWhImp","pv_200_IncWhImp_dl","pv_200_TotWhExp","pv_200_TotWhExp_dl","pv_200_TotWhImp","pv_200_TotWhImp_dl","pv_200_W","pv_200_W_dl"
"400003181","400003181","solax","2026-04-01 23:55:01.000","","VALID","","VALID","0","VALID","0","VALID","2,861,100","VALID","3,153,600","VALID","0","VALID","47","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","100","VALID","100","VALID","0","VALID","0","VALID","100","VALID","0","VALID","10,686,200","VALID","782","VALID","","VALID","0","VALID","0","VALID","10,978,700","VALID","0","VALID","782","VALID"
"400002054","400002054","solax","2026-04-01 23:55:01.000","","VALID","","VALID","100","VALID","0","VALID","7,290,400","VALID","4,379,300","VALID","0","VALID","99","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","8,275,000","VALID","5,287,000","VALID","-195","VALID","0","VALID","100","VALID","0","VALID","20,291,600","VALID","1,286","VALID","","VALID","100","VALID","0","VALID","24,279,600","VALID","0","VALID","1,481","VALID"
"400002056","400002056","solax","2026-04-01 23:55:01.000","","VALID","","VALID","0","VALID","0","VALID","2,031,200","VALID","2,744,400","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","200","VALID","0","VALID","12,766,100","VALID","1,010,300","VALID","-1,479","VALID","0","VALID","0","VALID","0","VALID","3,859,600","VALID","210","VALID","","VALID","300","VALID","0","VALID","16,328,600","VALID","0","VALID","1,689","VALID"
"400002333","400002333","solax","2026-04-01 23:55:01.000","","VALID","","VALID","0","VALID","0","VALID","2,214,400","VALID","2,437,000","VALID","-514","VALID","29","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","4,604,700","VALID","4,160,200","VALID","0","VALID","0","VALID","0","VALID","0","VALID","3,492,200","VALID","13","VALID","","VALID","100","VALID","0","VALID","4,159,300","VALID","0","VALID","527","VALID"
"400003690","400003690","solax","2026-04-01 23:55:01.000","","VALID","","VALID","0","VALID","0","VALID","6,541,899","VALID","5,420,000","VALID","3","VALID","99","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","32,138,800","VALID","18,185,000","VALID","-1,342","VALID","0","VALID","100","VALID","0","VALID","45,964,499","VALID","1,261","VALID","","VALID","200","VALID","0","VALID","51,949,700","VALID","0","VALID","2,216","VALID"
"400005002","400005002","solax","2026-04-01 23:55:01.000","","VALID","","VALID","0","VALID","0","VALID","11,129,100","VALID","8,520,600","VALID","0","VALID","9","VALID","","VALID","","VALID","","VALID","0","VALID","400","VALID","33,979,400","VALID","51,532,400","VALID","2,636","VALID","0","VALID","500","VALID","0","VALID","44,284,500","VALID","3,711","VALID","","VALID","100","VALID","0","VALID","27,646,700","VALID","0","VALID","1,075","VALID"
"400001489","400001489","solax","2026-04-01 23:55:02.000","","VALID","","VALID","0","VALID","0","VALID","6,292,300","VALID","6,897,300","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","26,347,800","VALID","23,328,100","VALID","-1,141","VALID","0","VALID","100","VALID","0","VALID","13,978,000","VALID","440","VALID","","VALID","200","VALID","0","VALID","17,602,700","VALID","0","VALID","1,581","VALID"
"400001432","400001432","tesla","2026-04-01 23:55:53.000","","VALID","","VALID","16","VALID","6","VALID","3,164,199","VALID","3,217,594","VALID","-1","VALID","100","VALID","","VALID","","VALID","","VALID","45","VALID","0","VALID","2,504,620","VALID","1,143,203.875","VALID","-326","VALID","0","VALID","17","VALID","0","VALID","5,138,412.875","VALID","92","VALID","","VALID","52","VALID","0","VALID","6,553,224","VALID","0","VALID","419","VALID"
"400001431","400001431","tesla","2026-04-01 23:56:06.000","","VALID","","VALID","695","VALID","0","VALID","4,013,733","VALID","4,146,178","VALID","4,032","VALID","63.60424028268551","VALID","","VALID","","VALID","","VALID","0","VALID","2","VALID","49,744","VALID","16,028,064","VALID","5","VALID","0","VALID","725","VALID","0","VALID","27,514,433","VALID","4,379","VALID","","VALID","28","VALID","0","VALID","11,668,558","VALID","0","VALID","342","VALID"
"400000948","400000948","tesla","2026-04-01 23:56:07.000","","VALID","","VALID","6","VALID","1","VALID","3,153,310","VALID","3,244,909","VALID","773","VALID","100","VALID","","VALID","","VALID","","VALID","15","VALID","13.75","VALID","16,434,004","VALID","2,459,487.25","VALID","-3","VALID","0","VALID","35.75","VALID","0","VALID","7,876,000.25","VALID","1,112","VALID","","VALID","32","VALID","0","VALID","21,942,116","VALID","0","VALID","342","VALID"
"400005107","400005107","tesla","2026-04-01 23:56:09.000","","VALID","","VALID","0","VALID","85","VALID","2,599,492","VALID","2,702,901","VALID","-955","VALID","55.08771929824562","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","1,435,431","VALID","9,114,357","VALID","7","VALID","0","VALID","32","VALID","0","VALID","13,129,519","VALID","226","VALID","","VALID","117","VALID","0","VALID","5,554,002","VALID","0","VALID","1,174","VALID"
"400001955","400001955","tesla","2026-04-01 23:56:10.000","","VALID","","VALID","17","VALID","7","VALID","4,780,966","VALID","4,933,032","VALID","2","VALID","100","VALID","","VALID","","VALID","","VALID","118","VALID","0","VALID","3,839,681","VALID","6,060,307","VALID","-1,399","VALID","0","VALID","56","VALID","0","VALID","13,432,247","VALID","526","VALID","","VALID","164","VALID","0","VALID","11,363,687","VALID","0","VALID","1,923","VALID"
"400005805","400005805","tesla","2026-04-01 23:56:15.000","","VALID","","VALID","36","VALID","1","VALID","2,764,974","VALID","2,850,076","VALID","308","VALID","42.857142857142854","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","1,730,981","VALID","11,505,376","VALID","-1","VALID","0","VALID","35","VALID","0","VALID","11,615,969","VALID","119.1999969482422","VALID","","VALID","0","VALID","0","VALID","1,926,676","VALID","0","VALID","-187.8000030517578","VALID"
"400000665","400000665","tesla","2026-04-01 23:56:28.000","","VALID","","VALID","0","VALID","0","VALID","15,010,337","VALID","17,889,810","VALID","140","VALID","100","VALID","","VALID","","VALID","","VALID","7.5","VALID","1","VALID","6,381,343","VALID","7,622,209","VALID","24","VALID","0","VALID","427.5","VALID","0","VALID","18,910,385","VALID","5,272","VALID","","VALID","434","VALID","0","VALID","20,548,992","VALID","0","VALID","5,108","VALID"
"400001795","400001795","tesla","2026-04-01 23:56:31.000","","VALID","","VALID","0","VALID","105","VALID","1,166,579","VALID","1,203,392","VALID","1","VALID","98.61111111111111","VALID","","VALID","","VALID","","VALID","11","VALID","1.5","VALID","1,194,696.25","VALID","7,306,438.5","VALID","-1,581","VALID","0","VALID","62.5","VALID","0","VALID","9,127,269.5","VALID","473","VALID","","VALID","177","VALID","0","VALID","3,052,340.25","VALID","0","VALID","2,053","VALID"
"400002048","400002048","solax","2026-04-01 23:56:44.000","","VALID","","VALID","200","VALID","0","VALID","3,265,900","VALID","3,613,600","VALID","2,470","VALID","93","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","5,562,700","VALID","8,918,000","VALID","0","VALID","0","VALID","400","VALID","0","VALID","15,291,900","VALID","4,152","VALID","","VALID","100","VALID","0","VALID","12,284,300","VALID","0","VALID","1,682","VALID"
"400001760","400001760","solax","2026-04-01 23:58:38.000","","VALID","","VALID","0","VALID","0","VALID","13,000","VALID","33,000","VALID","0","VALID","0","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","15,620,500","VALID","5,728,600","VALID","-1,569","VALID","0","VALID","199","VALID","0","VALID","23,976,699","VALID","5,694","VALID","","VALID","300","VALID","0","VALID","33,888,600","VALID","0","VALID","4,125","VALID"
