"tenantId","siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhImp","battery_200_IncWhExp","battery_200_IncWhImp","battery_200_TotWhExp","battery_200_TotWhImp","battery_200_W","battery_701_DailyWhAbs","battery_701_DailyWhInj","battery_701_Hz","battery_701_IncWhAbs","battery_701_IncWhExp","battery_701_IncWhImp","battery_701_IncWhInj","battery_701_LNV","battery_701_TotWhAbs","battery_701_TotWhInj","battery_701_W","battery_713_SoC","battery_713_SoH","battery_714_DCW","battery_714_DCWhAbs","battery_714_DCWhInj","battery_714_TotWhAbs","battery_714_TotWhInj","grid_200_DailyWhExp","grid_200_DailyWhImp","grid_200_IncWhExp","grid_200_IncWhImp","grid_200_TotWhExp","grid_200_TotWhImp","grid_200_W","inverter_701_DailyWhAbs","inverter_701_DailyWhInj","inverter_701_Hz","inverter_701_LNV","inverter_701_TotWhAbs","inverter_701_TotWhInj","inverter_701_W","load_200_DailyWhExp","load_200_DailyWhImp","load_200_IncWhExp","load_200_IncWhImp","load_200_TotWhExp","load_200_TotWhImp","load_200_W","pv_200_DailyWhExp","pv_200_IncWhExp","pv_200_IncWhImp","pv_200_TotWhExp","pv_200_TotWhImp","pv_200_W","pv_701_DailyWhAbs","pv_701_Hz","pv_701_IncWhAbs","pv_701_IncWhExp","pv_701_IncWhImp","pv_701_IncWhInj","pv_701_LNV","pv_701_TotWhAbs","pv_701_TotWhInj","pv_701_W","pv_714_DCW","pv_714_DCWhAbs","pv_714_DCWhInj","pv_714_IncDCWhAbs","pv_714_IncDCWhInj","time1d","time1mo","time1y","createdAtUTC","is_partial"
"","400005002","400005002","solax","2026-04-01 23:55:01.000","","","0","0","11,129,100","8,520,600","0","","","","0","","","0","","0","0","","9","","","","","","","","","0","400","33,979,400","51,532,400","2,636","","","","","","","","","","0","500","0","44,284,500","3,711","","100","0","27,646,700","0","1,075","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400001489","400001489","solax","2026-04-01 23:55:02.000","","","0","0","6,292,300","6,897,300","0","","","","0","","","0","","0","0","","100","","","","","","","","","100","0","26,347,800","23,328,100","-1,141","","","","","","","","","","0","100","0","13,978,000","440","","200","0","17,602,700","0","1,581","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400001432","400001432","tesla","2026-04-01 23:55:53.000","","","16","6","3,164,199","3,217,594","-1","","","","0","","","0","","0","0","","100","","","","","","","","","45","0","2,504,620","1,143,203.875","-326","","","","","","","","","","0","17","0","5,138,412.875","92","","52","0","6,553,224","0","419","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:49.5614320","0"
"","400001431","400001431","tesla","2026-04-01 23:56:06.000","","","695","0","4,013,733","4,146,178","4,032","","","","0","","","0","","0","0","","63.60424028268551","","","","","","","","","0","2","49,744","16,028,064","5","","","","","","","","","","0","725","0","27,514,433","4,379","","28","0","11,668,558","0","342","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:49.5614320","0"
"","400000948","400000948","tesla","2026-04-01 23:56:07.000","","","6","1","3,153,310","3,244,909","773","","","","0","","","0","","0","0","","100","","","","","","","","","15","13.75","16,434,004","2,459,487.25","-3","","","","","","","","","","0","35.75","0","7,876,000.25","1,112","","32","0","21,942,116","0","342","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:49.5614320","0"
"","400005107","400005107","tesla","2026-04-01 23:56:09.000","","","0","85","2,599,492","2,702,901","-955","","","","0","","","0","","0","0","","55.08771929824562","","","","","","","","","0","0","1,435,431","9,114,357","7","","","","","","","","","","0","32","0","13,129,519","226","","117","0","5,554,002","0","1,174","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:49.5614320","0"
"","400001955","400001955","tesla","2026-04-01 23:56:10.000","","","17","7","4,780,966","4,933,032","2","","","","0","","","0","","0","0","","100","","","","","","","","","118","0","3,839,681","6,060,307","-1,399","","","","","","","","","","0","56","0","13,432,247","526","","164","0","11,363,687","0","1,923","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:49.5614320","0"
"","400005805","400005805","tesla","2026-04-01 23:56:15.000","","","36","1","2,764,974","2,850,076","308","","","","0","","","0","","0","0","","42.857142857142854","","","","","","","","","0","0","1,730,981","11,505,376","-1","","","","","","","","","","0","35","0","11,615,969","119.1999969482422","","0","0","1,926,676","0","-187.8000030517578","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:49.5614320","0"
"","400000665","400000665","tesla","2026-04-01 23:56:28.000","","","0","0","15,010,337","17,889,810","140","","","","0","","","0","","0","0","","100","","","","","","","","","7.5","1","6,381,343","7,622,209","24","","","","","","","","","","0","427.5","0","18,910,385","5,272","","434","0","20,548,992","0","5,108","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:49.5614320","0"
"","400001795","400001795","tesla","2026-04-01 23:56:31.000","","","0","105","1,166,579","1,203,392","1","","","","0","","","0","","0","0","","98.61111111111111","","","","","","","","","11","1.5","1,194,696.25","7,306,438.5","-1,581","","","","","","","","","","0","62.5","0","9,127,269.5","473","","177","0","3,052,340.25","0","2,053","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:49.5614320","0"
"","400002048","400002048","solax","2026-04-01 23:56:44.000","","","200","0","3,265,900","3,613,600","2,470","","","","0","","","0","","0","0","","93","","","","","","","","","0","0","5,562,700","8,918,000","0","","","","","","","","","","0","400","0","15,291,900","4,152","","100","0","12,284,300","0","1,682","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:57:18.7844382","0"
"","400001760","400001760","solax","2026-04-01 23:58:38.000","","","0","0","13,000","33,000","0","","","","0","","","0","","0","0","","0","","","","","","","","","100","0","15,620,500","5,728,600","-1,569","","","","","","","","","","0","199","0","23,976,699","5,694","","300","0","33,888,600","0","4,125","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:58:57.4236762","0"
